TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.5, 32) AVG: 0.73005698005698 VAR: 0.0010596153690061198 F1: 0.7232582057121918 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.7, 32) AVG: 0.7372968911430449 VAR: 0.0011613831751411136 F1: 0.734909626651273 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.3, 32) AVG: 0.7149744842052534 VAR: 0.0023057421445796165 F1: 0.7078810007918079 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.5, 32) AVG: 0.718218747064901 VAR: 0.0010846110505819623 F1: 0.7097769126160041 SEED: 7616
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7379817475971322 VAR: 0.00109878889353305 F1: 0.7364754733644383 SEED: 17937
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7465209292132369 VAR: 0.0005626347537094037 F1: 0.7443934148404642 SEED: 17937
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.739273191196268 VAR: 0.0005294269023909969 F1: 0.7373560154334906 SEED: 17937
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.74388716696409 VAR: 0.000400427271229326 F1: 0.7411956760339024 SEED: 16557
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7498043267274037 VAR: 0.0006376421064078352 F1: 0.7482515174810223 SEED: 16557
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7359897936821012 VAR: 0.0005958978316817162 F1: 0.7343423848191879 SEED: 16557
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7438793400331862 VAR: 0.0008011262343167562 F1: 0.740683231661941 SEED: 13811
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7307340095801634 VAR: 0.0010824100708575215 F1: 0.7294766149475822 SEED: 13811
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7478789017250556 VAR: 0.0007157081519547888 F1: 0.7464663006220267 SEED: 13811
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.739977614977615 VAR: 0.0009457610733581086 F1: 0.737373391703444 SEED: 3534
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7471705644782567 VAR: 0.0008578616203732695 F1: 0.7454002900451656 SEED: 3534
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7471940452709683 VAR: 0.0004556198947360051 F1: 0.7449392356019691 SEED: 3534
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7478319401396324 VAR: 0.0006852203741510459 F1: 0.7449076475546446 SEED: 2327
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7471783914091605 VAR: 0.0009238552970325261 F1: 0.7455332964219458 SEED: 2327
