,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/453.txt,14.855200845665966,16.59255549682876,11.199475956395347,44.2582980972516,17.392811839323468,58.88900634249471,13.702591020190136,8.636363636363637,11.20067959830867,4.752906976744186,1.5465116279069768,31.272727272727273,1.0,0.5377906976744186,1635,532,344,185,11,11,95,42,131,11,1,0,1,0,6,0,2,0
/home/lucas/Lux/res/readability/input_texts/454.txt,11.056249831740477,12.421519720016157,12.17574391815857,52.448135684479766,14.778893525373537,47.9446762686768,13.052493799000692,5.631578947368421,11.158980495356037,5.002557544757034,1.578005115089514,20.57894736842105,1.0,0.6138107416879796,1956,617,391,240,19,19,107,64,161,22,0,2,2,7,10,0,2,0
/home/lucas/Lux/res/readability/input_texts/455.txt,14.78525107458913,17.743501896333754,12.418024852085967,45.413952465233905,17.35890771175727,58.31509481668773,13.564090116995406,8.44,11.63363161061947,4.958280657395702,1.5284450063211126,31.64,1.0,0.538558786346397,3922,1209,791,426,25,25,211,93,322,21,8,0,1,4,15,0,1,0
/home/lucas/Lux/res/readability/input_texts/456.txt,28.81888888888889,43.195,8.369827611111113,48.74500000000003,37.333333333333336,105.55555555555556,12.486832980505138,14.0,12.486611111111111,4.166666666666667,0.7888888888888889,90.0,1.0,0.8666666666666667,375,71,90,78,1,1,14,3,25,5,1,0,0,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/457.txt,21.132280991735545,25.093842975206606,11.456438549586782,29.76023966942151,25.14512396694215,71.12727272727273,17.491376746189438,11.0,12.235693719008266,4.739669421487603,1.512396694214876,48.4,1.0,0.6487603305785123,1147,366,242,157,5,5,55,35,95,13,1,0,0,1,3,1,0,1
/home/lucas/Lux/res/readability/input_texts/458.txt,7.705362005822142,11.27983942154193,10.998420375809935,75.67345102826559,11.507897455160109,49.072119447835476,10.223151185146152,5.826086956521739,11.7285332801202,4.8077753779697625,1.3088552915766738,20.130434782608695,1.0,0.5377969762419006,2226,606,463,249,23,23,134,40,208,18,1,0,1,1,3,0,6,0
/home/lucas/Lux/res/readability/input_texts/459.txt,32.0127536231884,39.14565217391304,16.322613420289855,-11.556521739130403,33.9768115942029,103.78260869565217,21.16590212458495,24.0,13.695276811594203,5.536231884057971,1.7536231884057971,69.0,1.0,0.8260869565217391,382,121,69,57,1,1,24,11,29,5,2,0,0,0,4,0,0,0
/home/lucas/Lux/res/readability/input_texts/460.txt,32.4325925925926,40.363851851851855,10.416654718518522,6.806666666666686,37.239506172839505,101.24691358024691,20.146428199482248,16.4,13.697186419753086,4.5209876543209875,1.3925925925925926,81.0,1.0,0.5925925925925926,1831,564,405,240,5,5,82,49,155,11,1,0,2,0,5,0,0,0
/home/lucas/Lux/res/readability/input_texts/461.txt,9.107186550151976,10.31109802431611,9.550260343465048,66.39263392857144,13.817705167173253,40.92724164133739,12.287087810503355,4.1875,10.12770699088146,4.556231003039514,1.4133738601823709,20.5625,1.0,0.5379939209726444,1499,465,329,177,16,16,67,46,114,8,2,0,0,0,7,0,0,0
/home/lucas/Lux/res/readability/input_texts/462.txt,8.173238278036745,10.013648660999909,6.77430795009597,80.65294945617404,12.457398775249064,40.164610181884655,9.866065623255952,3.8095238095238093,8.68574719861073,4.042226487523992,1.1938579654510557,24.80952380952381,0.9545454545454546,0.5067178502879078,2106,622,521,264,21,22,80,33,126,26,9,0,6,0,3,2,1,2
/home/lucas/Lux/res/readability/input_texts/463.txt,14.596883116883117,17.763636363636365,11.63280293939394,49.18675324675328,17.182683982683983,55.943722943722946,12.92831448793946,7.571428571428571,11.425248051948053,4.818181818181818,1.4675324675324675,33.0,1.0,0.6320346320346321,1113,339,231,146,7,7,53,23,90,8,1,0,0,0,4,0,1,0
/home/lucas/Lux/res/readability/input_texts/464.txt,12.213322109988777,14.855698653198651,10.107711287037038,59.96085858585862,16.226262626262628,51.985409652076314,12.908673886137246,6.636363636363637,11.043062738496072,4.577160493827161,1.382716049382716,29.454545454545453,1.0,0.5895061728395061,1483,448,324,191,11,11,73,36,122,13,4,0,1,1,2,0,1,1
/home/lucas/Lux/res/readability/input_texts/465.txt,55.76378378378378,70.67804054054054,6.60492531756757,-41.132297297297285,61.49729729729731,159.82432432432432,18.968719422671313,17.5,13.911252702702702,3.8445945945945947,1.1554054054054055,148.0,1.0,0.5067567567567568,1138,342,296,150,2,2,35,17,55,10,3,0,0,0,1,0,0,1
/home/lucas/Lux/res/readability/input_texts/466.txt,16.433809523809526,20.164901587301586,11.090479502857143,46.50563492063495,20.355555555555554,63.460317460317455,14.832159566199232,9.555555555555555,11.34001746031746,4.702857142857143,1.4285714285714286,38.888888888888886,1.0,0.6514285714285715,1646,500,350,228,9,9,86,42,128,20,2,0,0,1,5,0,4,0
/home/lucas/Lux/res/readability/input_texts/467.txt,8.401875,10.529791666666668,9.394118645833338,72.8222916666667,11.241666666666667,40.08333333333333,9.582805886043833,4.0,9.629008333333333,4.520833333333333,1.328125,21.333333333333332,1.0,0.703125,868,255,192,135,9,9,36,13,60,9,0,1,0,1,1,0,3,0
/home/lucas/Lux/res/readability/input_texts/468.txt,10.140204081632653,13.308418367346938,9.031851372448983,72.23336734693879,13.853061224489796,44.83673469387755,10.46420027292179,4.714285714285714,9.295044897959183,4.403061224489796,1.2551020408163265,28.0,1.0,0.6887755102040817,863,246,196,135,7,7,33,13,53,9,3,0,0,0,0,0,1,0
